Name,lng,lat,loc
,50.775,6.08333,"Katschhof 2, 52062 Aachen, Germany"
,56.18333,10.23333,"Tjørnevej 14, 8240 Risskov, Denmark"
,54.21667,-113,"54, Buildings 11, Cairo, 19519, Egypt"
,16.88333,-99.9,"Calle 2, Independencia, 39300 Acapulco, GRO, Mexico"
,-33.16667,-64.95,"Pedanía Achiras, Argentina"
,32.1,71.8,"Noorpur Thal Road, Noorpur Tehsil, Adhi Kot, Pakistan"
,44.83333,95.16667,not found
,44.21667,0.61667,"Rue de Cazemajou, 47000 Agen, France"
,-31.6,-65.23333,"Mogigasta, Pedanía Panaholma, Argentina"
,-30.86667,-64.55,"La Toma, Capilla del Monte, Pedanía Dolores, Argentina"
,16.39806,-9.57028,"Kubanni, Hodh El Gharbi, Mauritania"
,19.08333,8.38333,"Iferouâne, Arlit, Niger"
,50.66667,2.33333,"Rue de Mametz, 62120 Roquetoire, France"
,29.51667,35.05,"77110 Aqaba Sub-District, Jordan"
,29.71667,77.95,"Laksar, India"
,8.91667,8.43333,"Akwanga, Nigeria"
,39.91667,42.81667,"Akyumak, Eleşkirt, Turkey"
,24.41667,39.51667,"Medina, Medina Province, Saudi Arabia"
,13.66033,28.96,not found
,44.11667,4.08333,"22 Rue de la Pouzarenque, 30100 Alès, France"
,44.65,11.01667,"Via Imperiale, 49a, 41015 Castelfranco Emilia MO, Italy"
,2,22.66667,"2 Fire Route 22, North Kawartha, ON, Canada"
,45.82133,6.01533,"Allée de Montdésir, 74540 Alby-sur-Chéran, France"
,51.78333,-1.78333,"B4425, Aldsworth, GL54 3RD, United Kingdom"
,36.23333,37.13333,"Al-Resafa district, 15310 Aleppo, Syria"
,44.88333,8.75,"Via Molinara, 15062 Alessandria AL, Italy"
,50.95,31.81667,"Nizhyn Raion, Носівська міська громада, 16634, Ukraine"
,45.26667,10.15,"Alfianello, Brescia, Italy"
,42.53333,-85.88333,"Monroe Road, Valley Township, MI 49010, United States of America"
,26.96667,-105.31667,"Santa Ana de Prado, Pueblito de Allende, Allende, Mexico"
,20.74575,32.41275,not found
,35.27333,44.21556,"Taza Khurmatu Subdistrict, Humera Upper, Daquq District, Iraq"
,27.66667,78.25,"NH530B, Hathras, - 204102, Uttar Pradesh, India"
,26.58333,85.56667,"Dumra, India"
,44.61667,-70.75,"Back Street, Andover, ME 04216, United States of America"
,48.7,37.5,"Героїв Союзу вулиця, Ivanivka, Kramatorsk, Ukraine"
